,AQI Level,Cabon_dioxide PPM,Health_Level,Visibility_Level
120,417,1606,Hazardous,Extremely Poor Visibility
121,484,1502,Hazardous,Extremely Poor Visibility
122,50,385,Good,Clear
123,315,1655,Hazardous,Extremely Poor Visibility
124,270,1125,Very_Unhealthy,Very Poor Visibility
125,19,392,Good,Clear
126,161,978,Unhealthy,Poor Visibility
127,477,1531,Hazardous,Extremely Poor Visibility
128,457,1573,Hazardous,Extremely Poor Visibility
129,500,1629,Hazardous,Extremely Poor Visibility
130,30,377,Good,Clear
131,215,1019,Very_Unhealthy,Very Poor Visibility
132,39,441,Good,Clear
133,45,421,Good,Clear
134,270,1125,Very_Unhealthy,Very Poor Visibility
135,80,491,Moderate,Slightly Hazy
136,250,1438,Very_Unhealthy,Very Poor Visibility
137,345,1566,Hazardous,Extremely Poor Visibility
138,334,1628,Hazardous,Extremely Poor Visibility
139,382,1657,Hazardous,Extremely Poor Visibility
140,474,1590,Hazardous,Extremely Poor Visibility
141,181,937,Unhealthy,Poor Visibility
142,39,435,Good,Clear
143,203,1090,Very_Unhealthy,Very Poor Visibility
144,138,737,Moderate_Bad,Hazy
145,242,1332,Very_Unhealthy,Very Poor Visibility
146,292,1348,Very_Unhealthy,Very Poor Visibility
147,273,1229,Very_Unhealthy,Very Poor Visibility
148,1,427,Good,Clear
149,123,635,Moderate_Bad,Hazy
150,22,369,Good,Clear
151,209,1443,Very_Unhealthy,Very Poor Visibility
152,460,1587,Hazardous,Extremely Poor Visibility
153,251,1039,Very_Unhealthy,Very Poor Visibility
154,499,1551,Hazardous,Extremely Poor Visibility
155,484,1553,Hazardous,Extremely Poor Visibility
156,242,1082,Very_Unhealthy,Very Poor Visibility
157,81,544,Moderate,Slightly Hazy
158,366,1593,Hazardous,Extremely Poor Visibility
159,108,717,Moderate_Bad,Hazy
160,148,635,Moderate_Bad,Hazy
161,281,1214,Very_Unhealthy,Very Poor Visibility
162,218,1323,Very_Unhealthy,Very Poor Visibility
163,493,1695,Hazardous,Extremely Poor Visibility
164,221,1440,Very_Unhealthy,Very Poor Visibility
165,362,1508,Hazardous,Extremely Poor Visibility
166,374,1678,Hazardous,Extremely Poor Visibility
167,46,400,Good,Clear
168,2,447,Good,Clear
169,396,1690,Hazardous,Extremely Poor Visibility
170,89,492,Moderate,Slightly Hazy
171,297,1042,Very_Unhealthy,Very Poor Visibility
172,227,1123,Very_Unhealthy,Very Poor Visibility
173,96,585,Moderate,Slightly Hazy
174,349,1694,Hazardous,Extremely Poor Visibility
175,142,762,Moderate_Bad,Hazy
176,484,1523,Hazardous,Extremely Poor Visibility
177,20,434,Good,Clear
178,24,380,Good,Clear
179,325,1698,Hazardous,Extremely Poor Visibility
180,215,1060,Very_Unhealthy,Very Poor Visibility
181,492,1578,Hazardous,Extremely Poor Visibility
182,22,369,Good,Clear
183,98,495,Moderate,Slightly Hazy
184,158,859,Unhealthy,Poor Visibility
185,291,1117,Very_Unhealthy,Very Poor Visibility
186,266,1438,Very_Unhealthy,Very Poor Visibility
187,228,1457,Very_Unhealthy,Very Poor Visibility
188,480,1589,Hazardous,Extremely Poor Visibility
189,287,1292,Very_Unhealthy,Very Poor Visibility
190,244,1101,Very_Unhealthy,Very Poor Visibility
191,401,1685,Hazardous,Extremely Poor Visibility
192,430,1542,Hazardous,Extremely Poor Visibility
193,467,1527,Hazardous,Extremely Poor Visibility
194,320,1561,Hazardous,Extremely Poor Visibility
195,10,417,Good,Clear
196,27,419,Good,Clear
197,381,1630,Hazardous,Extremely Poor Visibility
198,333,1595,Hazardous,Extremely Poor Visibility
199,313,1642,Hazardous,Extremely Poor Visibility
200,1,356,Good,Clear
201,264,1318,Very_Unhealthy,Very Poor Visibility
202,15,443,Good,Clear
203,243,1189,Very_Unhealthy,Very Poor Visibility
204,124,672,Moderate_Bad,Hazy
205,83,467,Moderate,Slightly Hazy
206,492,1576,Hazardous,Extremely Poor Visibility
207,356,1570,Hazardous,Extremely Poor Visibility
208,382,1663,Hazardous,Extremely Poor Visibility
209,452,1582,Hazardous,Extremely Poor Visibility
210,174,931,Unhealthy,Poor Visibility
211,75,484,Moderate,Slightly Hazy
212,413,1629,Hazardous,Extremely Poor Visibility
213,428,1529,Hazardous,Extremely Poor Visibility
214,161,901,Unhealthy,Poor Visibility
215,224,1364,Very_Unhealthy,Very Poor Visibility
216,466,1698,Hazardous,Extremely Poor Visibility
217,380,1566,Hazardous,Extremely Poor Visibility
218,451,1696,Hazardous,Extremely Poor Visibility
219,392,1551,Hazardous,Extremely Poor Visibility
220,324,1513,Hazardous,Extremely Poor Visibility
221,391,1677,Hazardous,Extremely Poor Visibility
222,224,1212,Very_Unhealthy,Very Poor Visibility
223,82,476,Moderate,Slightly Hazy
224,183,850,Unhealthy,Poor Visibility
225,151,845,Unhealthy,Poor Visibility
226,102,645,Moderate_Bad,Hazy
227,340,1576,Hazardous,Extremely Poor Visibility
228,363,1511,Hazardous,Extremely Poor Visibility
229,398,1642,Hazardous,Extremely Poor Visibility
230,320,1620,Hazardous,Extremely Poor Visibility
231,121,698,Moderate_Bad,Hazy
232,112,759,Moderate_Bad,Hazy
233,41,395,Good,Clear
234,58,582,Moderate,Slightly Hazy
235,226,1103,Very_Unhealthy,Very Poor Visibility
236,403,1650,Hazardous,Extremely Poor Visibility
237,216,1131,Very_Unhealthy,Very Poor Visibility
238,270,1318,Very_Unhealthy,Very Poor Visibility
239,285,1209,Very_Unhealthy,Very Poor Visibility
240,136,638,Moderate_Bad,Hazy
241,433,1566,Hazardous,Extremely Poor Visibility
242,8,380,Good,Clear
243,119,717,Moderate_Bad,Hazy
244,407,1507,Hazardous,Extremely Poor Visibility
245,344,1691,Hazardous,Extremely Poor Visibility
246,225,1377,Very_Unhealthy,Very Poor Visibility
247,266,1211,Very_Unhealthy,Very Poor Visibility
248,79,574,Moderate,Slightly Hazy
249,13,381,Good,Clear
250,190,938,Unhealthy,Poor Visibility
251,381,1596,Hazardous,Extremely Poor Visibility
252,467,1699,Hazardous,Extremely Poor Visibility
253,195,842,Unhealthy,Poor Visibility
254,348,1608,Hazardous,Extremely Poor Visibility
255,289,1406,Very_Unhealthy,Very Poor Visibility
256,458,1531,Hazardous,Extremely Poor Visibility
257,332,1569,Hazardous,Extremely Poor Visibility
258,267,1257,Very_Unhealthy,Very Poor Visibility
259,1,363,Good,Clear
260,289,1062,Very_Unhealthy,Very Poor Visibility
261,311,1695,Hazardous,Extremely Poor Visibility
262,358,1559,Hazardous,Extremely Poor Visibility
263,60,495,Moderate,Slightly Hazy
264,44,425,Good,Clear
265,362,1691,Hazardous,Extremely Poor Visibility
266,154,979,Unhealthy,Poor Visibility
267,5,417,Good,Clear
268,164,978,Unhealthy,Poor Visibility
269,433,1530,Hazardous,Extremely Poor Visibility
270,370,1531,Hazardous,Extremely Poor Visibility
271,452,1556,Hazardous,Extremely Poor Visibility
272,302,1613,Hazardous,Extremely Poor Visibility
273,426,1700,Hazardous,Extremely Poor Visibility
274,474,1561,Hazardous,Extremely Poor Visibility
275,267,1300,Very_Unhealthy,Very Poor Visibility
276,69,546,Moderate,Slightly Hazy
277,134,794,Moderate_Bad,Hazy
278,469,1551,Hazardous,Extremely Poor Visibility
279,451,1638,Hazardous,Extremely Poor Visibility
280,52,467,Moderate,Slightly Hazy
281,193,923,Unhealthy,Poor Visibility
282,483,1608,Hazardous,Extremely Poor Visibility
283,134,755,Moderate_Bad,Hazy
284,284,1129,Very_Unhealthy,Very Poor Visibility
285,256,1061,Very_Unhealthy,Very Poor Visibility
286,360,1556,Hazardous,Extremely Poor Visibility
287,122,654,Moderate_Bad,Hazy
288,439,1546,Hazardous,Extremely Poor Visibility
289,63,494,Moderate,Slightly Hazy
290,380,1595,Hazardous,Extremely Poor Visibility
291,475,1562,Hazardous,Extremely Poor Visibility
292,260,1265,Very_Unhealthy,Very Poor Visibility
293,131,638,Moderate_Bad,Hazy
294,255,1441,Very_Unhealthy,Very Poor Visibility
295,101,757,Moderate_Bad,Hazy
296,322,1593,Hazardous,Extremely Poor Visibility
297,423,1540,Hazardous,Extremely Poor Visibility
298,269,1155,Very_Unhealthy,Very Poor Visibility
299,482,1636,Hazardous,Extremely Poor Visibility
300,180,911,Unhealthy,Poor Visibility
301,280,1432,Very_Unhealthy,Very Poor Visibility
302,298,1494,Very_Unhealthy,Very Poor Visibility
303,205,1056,Very_Unhealthy,Very Poor Visibility
304,430,1573,Hazardous,Extremely Poor Visibility
305,125,642,Moderate_Bad,Hazy
306,271,1065,Very_Unhealthy,Very Poor Visibility
307,43,414,Good,Clear
308,262,1464,Very_Unhealthy,Very Poor Visibility
309,209,1114,Very_Unhealthy,Very Poor Visibility
310,36,446,Good,Clear
311,373,1565,Hazardous,Extremely Poor Visibility
312,24,439,Good,Clear
313,269,1047,Very_Unhealthy,Very Poor Visibility
314,475,1677,Hazardous,Extremely Poor Visibility
315,425,1516,Hazardous,Extremely Poor Visibility
316,292,1228,Very_Unhealthy,Very Poor Visibility
317,338,1568,Hazardous,Extremely Poor Visibility
318,263,1031,Very_Unhealthy,Very Poor Visibility
319,114,680,Moderate_Bad,Hazy
320,221,1061,Very_Unhealthy,Very Poor Visibility
321,156,968,Unhealthy,Poor Visibility
322,57,581,Moderate,Slightly Hazy
323,427,1680,Hazardous,Extremely Poor Visibility
324,172,885,Unhealthy,Poor Visibility
325,413,1543,Hazardous,Extremely Poor Visibility
326,327,1589,Hazardous,Extremely Poor Visibility
327,186,832,Unhealthy,Poor Visibility
328,11,436,Good,Clear
329,488,1672,Hazardous,Extremely Poor Visibility
330,229,1316,Very_Unhealthy,Very Poor Visibility
331,386,1550,Hazardous,Extremely Poor Visibility
332,77,486,Moderate,Slightly Hazy
333,341,1508,Hazardous,Extremely Poor Visibility
334,254,1260,Very_Unhealthy,Very Poor Visibility
335,424,1655,Hazardous,Extremely Poor Visibility
336,267,1342,Very_Unhealthy,Very Poor Visibility
337,113,787,Moderate_Bad,Hazy
338,436,1523,Hazardous,Extremely Poor Visibility
339,144,708,Moderate_Bad,Hazy
340,94,572,Moderate,Slightly Hazy
341,500,1598,Hazardous,Extremely Poor Visibility
342,65,518,Moderate,Slightly Hazy
343,170,927,Unhealthy,Poor Visibility
344,353,1681,Hazardous,Extremely Poor Visibility
345,265,1164,Very_Unhealthy,Very Poor Visibility
346,430,1665,Hazardous,Extremely Poor Visibility
347,284,1153,Very_Unhealthy,Very Poor Visibility
348,490,1667,Hazardous,Extremely Poor Visibility
349,469,1551,Hazardous,Extremely Poor Visibility
350,242,1296,Very_Unhealthy,Very Poor Visibility
351,45,406,Good,Clear
352,335,1576,Hazardous,Extremely Poor Visibility
353,19,365,Good,Clear
354,434,1644,Hazardous,Extremely Poor Visibility
355,31,442,Good,Clear
356,74,511,Moderate,Slightly Hazy
357,280,1397,Very_Unhealthy,Very Poor Visibility
358,376,1598,Hazardous,Extremely Poor Visibility
359,395,1675,Hazardous,Extremely Poor Visibility
360,125,764,Moderate_Bad,Hazy
361,426,1541,Hazardous,Extremely Poor Visibility
362,30,414,Good,Clear
363,48,360,Good,Clear
364,395,1582,Hazardous,Extremely Poor Visibility
365,453,1575,Hazardous,Extremely Poor Visibility
366,285,1102,Very_Unhealthy,Very Poor Visibility
367,409,1548,Hazardous,Extremely Poor Visibility
368,348,1684,Hazardous,Extremely Poor Visibility
369,207,1115,Very_Unhealthy,Very Poor Visibility
370,19,360,Good,Clear
371,70,524,Moderate,Slightly Hazy
372,395,1516,Hazardous,Extremely Poor Visibility
373,116,705,Moderate_Bad,Hazy
374,297,1238,Very_Unhealthy,Very Poor Visibility
375,146,722,Moderate_Bad,Hazy
376,82,474,Moderate,Slightly Hazy
377,238,1423,Very_Unhealthy,Very Poor Visibility
378,207,1261,Very_Unhealthy,Very Poor Visibility
379,104,776,Moderate_Bad,Hazy
380,218,1499,Very_Unhealthy,Very Poor Visibility
381,135,723,Moderate_Bad,Hazy
382,2,410,Good,Clear
383,488,1617,Hazardous,Extremely Poor Visibility
384,205,1032,Very_Unhealthy,Very Poor Visibility
385,450,1519,Hazardous,Extremely Poor Visibility
386,233,1305,Very_Unhealthy,Very Poor Visibility
387,489,1520,Hazardous,Extremely Poor Visibility
388,222,1334,Very_Unhealthy,Very Poor Visibility
389,20,352,Good,Clear
390,449,1687,Hazardous,Extremely Poor Visibility
391,265,1241,Very_Unhealthy,Very Poor Visibility
392,481,1681,Hazardous,Extremely Poor Visibility
393,349,1539,Hazardous,Extremely Poor Visibility
394,257,1334,Very_Unhealthy,Very Poor Visibility
395,102,711,Moderate_Bad,Hazy
396,90,547,Moderate,Slightly Hazy
397,436,1643,Hazardous,Extremely Poor Visibility
398,384,1561,Hazardous,Extremely Poor Visibility
399,356,1663,Hazardous,Extremely Poor Visibility
400,38,441,Good,Clear
401,402,1643,Hazardous,Extremely Poor Visibility
402,303,1554,Hazardous,Extremely Poor Visibility
403,128,708,Moderate_Bad,Hazy
404,124,708,Moderate_Bad,Hazy
405,456,1679,Hazardous,Extremely Poor Visibility
406,320,1604,Hazardous,Extremely Poor Visibility
407,2,361,Good,Clear
408,376,1530,Hazardous,Extremely Poor Visibility
409,385,1582,Hazardous,Extremely Poor Visibility
410,356,1688,Hazardous,Extremely Poor Visibility
411,60,541,Moderate,Slightly Hazy
412,44,444,Good,Clear
413,8,448,Good,Clear
414,200,1583,Hazardous,Extremely Poor Visibility
415,478,1549,Hazardous,Extremely Poor Visibility
416,408,1682,Hazardous,Extremely Poor Visibility
417,212,1323,Very_Unhealthy,Very Poor Visibility
418,377,1531,Hazardous,Extremely Poor Visibility
419,201,1453,Very_Unhealthy,Very Poor Visibility
420,224,1445,Very_Unhealthy,Very Poor Visibility
421,405,1655,Hazardous,Extremely Poor Visibility
422,128,669,Moderate_Bad,Hazy
423,435,1679,Hazardous,Extremely Poor Visibility
424,292,1372,Very_Unhealthy,Very Poor Visibility
425,202,1090,Very_Unhealthy,Very Poor Visibility
426,362,1569,Hazardous,Extremely Poor Visibility
427,49,360,Good,Clear
428,167,999,Unhealthy,Poor Visibility
429,131,650,Moderate_Bad,Hazy
430,35,424,Good,Clear
431,49,371,Good,Clear
432,229,1244,Very_Unhealthy,Very Poor Visibility
433,143,703,Moderate_Bad,Hazy
434,290,1464,Very_Unhealthy,Very Poor Visibility
435,151,858,Unhealthy,Poor Visibility
436,360,1696,Hazardous,Extremely Poor Visibility
437,271,1191,Very_Unhealthy,Very Poor Visibility
438,182,808,Unhealthy,Poor Visibility
439,328,1683,Hazardous,Extremely Poor Visibility
440,52,520,Moderate,Slightly Hazy
441,383,1543,Hazardous,Extremely Poor Visibility
442,3,428,Good,Clear
443,176,821,Unhealthy,Poor Visibility
444,386,1586,Hazardous,Extremely Poor Visibility
445,455,1615,Hazardous,Extremely Poor Visibility
446,3,362,Good,Clear
447,388,1645,Hazardous,Extremely Poor Visibility
448,85,529,Moderate,Slightly Hazy
449,278,1141,Very_Unhealthy,Very Poor Visibility
450,99,576,Moderate,Slightly Hazy
451,182,935,Unhealthy,Poor Visibility
452,278,1245,Very_Unhealthy,Very Poor Visibility
453,492,1555,Hazardous,Extremely Poor Visibility
454,306,1605,Hazardous,Extremely Poor Visibility
455,172,914,Unhealthy,Poor Visibility
456,93,486,Moderate,Slightly Hazy
457,438,1664,Hazardous,Extremely Poor Visibility
458,468,1639,Hazardous,Extremely Poor Visibility
459,141,698,Moderate_Bad,Hazy
460,188,836,Unhealthy,Poor Visibility
461,485,1696,Hazardous,Extremely Poor Visibility
462,281,1380,Very_Unhealthy,Very Poor Visibility
463,140,677,Moderate_Bad,Hazy
464,41,379,Good,Clear
465,140,798,Moderate_Bad,Hazy
466,459,1596,Hazardous,Extremely Poor Visibility
467,56,477,Moderate,Slightly Hazy
468,166,975,Unhealthy,Poor Visibility
469,359,1561,Hazardous,Extremely Poor Visibility
470,242,1159,Very_Unhealthy,Very Poor Visibility
471,402,1532,Hazardous,Extremely Poor Visibility
472,174,819,Unhealthy,Poor Visibility
473,82,526,Moderate,Slightly Hazy
474,189,876,Unhealthy,Poor Visibility
475,125,677,Moderate_Bad,Hazy
476,36,385,Good,Clear
477,216,1476,Very_Unhealthy,Very Poor Visibility
478,116,612,Moderate_Bad,Hazy
479,252,1003,Very_Unhealthy,Very Poor Visibility
480,496,1589,Hazardous,Extremely Poor Visibility
481,102,685,Moderate_Bad,Hazy
482,323,1550,Hazardous,Extremely Poor Visibility
483,437,1633,Hazardous,Extremely Poor Visibility
484,337,1562,Hazardous,Extremely Poor Visibility
485,464,1679,Hazardous,Extremely Poor Visibility
486,104,623,Moderate_Bad,Hazy
487,345,1588,Hazardous,Extremely Poor Visibility
488,460,1680,Hazardous,Extremely Poor Visibility
489,244,1215,Very_Unhealthy,Very Poor Visibility
490,301,1563,Hazardous,Extremely Poor Visibility
491,257,1221,Very_Unhealthy,Very Poor Visibility
492,460,1655,Hazardous,Extremely Poor Visibility
493,492,1503,Hazardous,Extremely Poor Visibility
494,189,987,Unhealthy,Poor Visibility
495,92,515,Moderate,Slightly Hazy
496,352,1583,Hazardous,Extremely Poor Visibility
497,336,1559,Hazardous,Extremely Poor Visibility
498,144,720,Moderate_Bad,Hazy
499,71,520,Moderate,Slightly Hazy
500,494,1614,Hazardous,Extremely Poor Visibility
501,20,404,Good,Clear
502,186,833,Unhealthy,Poor Visibility
503,21,376,Good,Clear
504,89,586,Moderate,Slightly Hazy
505,139,644,Moderate_Bad,Hazy
506,265,1488,Very_Unhealthy,Very Poor Visibility
507,174,964,Unhealthy,Poor Visibility
508,177,947,Unhealthy,Poor Visibility
509,86,460,Moderate,Slightly Hazy
510,382,1520,Hazardous,Extremely Poor Visibility
511,138,642,Moderate_Bad,Hazy
512,282,1156,Very_Unhealthy,Very Poor Visibility
513,356,1685,Hazardous,Extremely Poor Visibility
514,363,1676,Hazardous,Extremely Poor Visibility
515,241,1133,Very_Unhealthy,Very Poor Visibility
516,123,639,Moderate_Bad,Hazy
517,358,1527,Hazardous,Extremely Poor Visibility
518,65,512,Moderate,Slightly Hazy
519,225,1382,Very_Unhealthy,Very Poor Visibility
520,294,1107,Very_Unhealthy,Very Poor Visibility
521,180,803,Unhealthy,Poor Visibility
522,419,1612,Hazardous,Extremely Poor Visibility
523,50,447,Good,Clear
524,316,1677,Hazardous,Extremely Poor Visibility
525,142,647,Moderate_Bad,Hazy
526,289,1181,Very_Unhealthy,Very Poor Visibility
527,245,1279,Very_Unhealthy,Very Poor Visibility
528,390,1658,Hazardous,Extremely Poor Visibility
529,458,1602,Hazardous,Extremely Poor Visibility
530,293,1271,Very_Unhealthy,Very Poor Visibility
531,467,1626,Hazardous,Extremely Poor Visibility
532,348,1519,Hazardous,Extremely Poor Visibility
533,123,662,Moderate_Bad,Hazy
534,95,594,Moderate,Slightly Hazy
535,213,1391,Very_Unhealthy,Very Poor Visibility
536,459,1679,Hazardous,Extremely Poor Visibility
537,254,1069,Very_Unhealthy,Very Poor Visibility
538,0,425,Good,Clear
539,186,973,Unhealthy,Poor Visibility
540,358,1599,Hazardous,Extremely Poor Visibility
541,140,740,Moderate_Bad,Hazy
542,282,1331,Very_Unhealthy,Very Poor Visibility
543,208,1068,Very_Unhealthy,Very Poor Visibility
544,411,1522,Hazardous,Extremely Poor Visibility
545,17,382,Good,Clear
546,281,1342,Very_Unhealthy,Very Poor Visibility
547,355,1653,Hazardous,Extremely Poor Visibility
548,103,684,Moderate_Bad,Hazy
549,344,1555,Hazardous,Extremely Poor Visibility
550,136,786,Moderate_Bad,Hazy
551,48,374,Good,Clear
552,185,990,Unhealthy,Poor Visibility
553,311,1666,Hazardous,Extremely Poor Visibility
554,44,383,Good,Clear
555,334,1688,Hazardous,Extremely Poor Visibility
556,435,1535,Hazardous,Extremely Poor Visibility
557,415,1603,Hazardous,Extremely Poor Visibility
558,202,1031,Very_Unhealthy,Very Poor Visibility
559,364,1545,Hazardous,Extremely Poor Visibility
560,14,416,Good,Clear
561,12,418,Good,Clear
562,34,424,Good,Clear
563,414,1528,Hazardous,Extremely Poor Visibility
564,259,1440,Very_Unhealthy,Very Poor Visibility
565,259,1399,Very_Unhealthy,Very Poor Visibility
566,420,1593,Hazardous,Extremely Poor Visibility
567,222,1368,Very_Unhealthy,Very Poor Visibility
568,236,1266,Very_Unhealthy,Very Poor Visibility
569,22,350,Good,Clear
570,438,1607,Hazardous,Extremely Poor Visibility
571,69,513,Moderate,Slightly Hazy
572,281,1193,Very_Unhealthy,Very Poor Visibility
573,177,815,Unhealthy,Poor Visibility
574,460,1553,Hazardous,Extremely Poor Visibility
575,58,592,Moderate,Slightly Hazy
576,361,1552,Hazardous,Extremely Poor Visibility
577,478,1505,Hazardous,Extremely Poor Visibility
578,486,1551,Hazardous,Extremely Poor Visibility
579,310,1549,Hazardous,Extremely Poor Visibility
580,19,397,Good,Clear
581,460,1546,Hazardous,Extremely Poor Visibility
582,187,839,Unhealthy,Poor Visibility
583,183,855,Unhealthy,Poor Visibility
584,477,1634,Hazardous,Extremely Poor Visibility
585,32,395,Good,Clear
586,128,797,Moderate_Bad,Hazy
587,446,1587,Hazardous,Extremely Poor Visibility
588,30,363,Good,Clear
589,489,1575,Hazardous,Extremely Poor Visibility
590,251,1138,Very_Unhealthy,Very Poor Visibility
591,65,475,Moderate,Slightly Hazy
592,176,832,Unhealthy,Poor Visibility
593,349,1674,Hazardous,Extremely Poor Visibility
594,161,968,Unhealthy,Poor Visibility
595,189,814,Unhealthy,Poor Visibility
596,450,1619,Hazardous,Extremely Poor Visibility
597,178,972,Unhealthy,Poor Visibility
598,336,1670,Hazardous,Extremely Poor Visibility
599,84,571,Moderate,Slightly Hazy
600,147,614,Moderate_Bad,Hazy
601,126,612,Moderate_Bad,Hazy
602,362,1542,Hazardous,Extremely Poor Visibility
603,486,1544,Hazardous,Extremely Poor Visibility
604,308,1594,Hazardous,Extremely Poor Visibility
605,340,1676,Hazardous,Extremely Poor Visibility
606,282,1315,Very_Unhealthy,Very Poor Visibility
607,315,1563,Hazardous,Extremely Poor Visibility
608,438,1563,Hazardous,Extremely Poor Visibility
609,315,1525,Hazardous,Extremely Poor Visibility
610,42,449,Good,Clear
611,299,1197,Very_Unhealthy,Very Poor Visibility
612,41,357,Good,Clear
613,304,1573,Hazardous,Extremely Poor Visibility
